L02002	Patronažna posjeta lica sa aktivnom TB	
L02003	Patronažna posjeta bolesniku kome je potrebna djelimična ili potpuna pomoć kod izvođenja osnovnih životnih aktivnosti zbog bolesti ili starosti (nepokretnim ili ograničeno pokretnim, vezan za kolica ili krevet ili hoda uz pomoć druge osobe i pomagala)(oboljelom od distrofije, multiple skleroze, cer.paralize)	
L02004	Patronažna posjeta porodici u kojoj postoje zdravstveno-socijalni problemi	
L02005	Patronažna posjeta porodici koja se brine o invalidnoj osobi, teškom bolesniku ili o staroj osobi	
L03001	Posjeta patronažne sestre zbog tretmana i postupaka kod nepokretnih ili teško pokretnih bolesnika po nalogu izabranog doktora na udaljenosti do 5 km od Doma zdravlja	
L03002	Posjeta patronažne sestre zbog tretmana i postupaka kod nepokretnih ili teško pokretnih bolesnika po nalogu izabranog doktora na udaljenosti od 5 do15 km od Doma zdravlja	
L03003	Posjeta patronažne sestre zbog tretmana i postupaka kod nepokretnih ili teško pokretnih bolesnika po nalogu izabranog doktora na udaljenosti više od 15 km od Doma zdravlja	
L03004	Posjeta patronažne sestre zbog davanja infuzije po nalogu izabranog doktora na udaljenosti do 5 km od Doma zdravlja	
L03005	Posjeta patronažne sestre zbog davanja infuzije po nalogu izabranog doktora na udaljenosti od 5do15 km od Doma zdravlja	
L03006	Posjeta patronažne sestre zbog davanja infuzije po nalogu izabranog doktora na udaljenosti više od 15 km od Doma zdravlja	
L04001	Uključivanje u preventivne akcije po vodećim javnozdravstvenim problema	
L04002	Zdravstveno vaspitni i promotivni programi-grupni rad	
L04003	Zdravstveno vaspitni rad sa hroničnim bolesnicima	7376
X01022_PATR	Direktno opservirana terapija za TBC (DOTs) - patronaža	
D11001	Prvi stomatološki pregled predškolske djece (serijski stomatološki pregled predškolske djece)	
D11002	Prvi stomatološki pregled školske djece (serijski stomatološki pregled školske djece)	
D11003	Topikalna aplikacija fluorida (premazima, lakom, gelom, kod djece u vrtićima i školske djece) u cilju zaštite zuba ako je samo po završenom saniranju zuba ili na zdravim zubima	
D11004	Fluoridacija ispiranjem na nisko-koncentrovanim fluoridnim rastvorima kod grupe od najmanje pet osoba, kod predškolske djece ili djece u osnovnoj školi. Fluoridacija četkanjem na fluoridnim pastama, jetkanje i nanošenje zalivača, i kontrola zagriza	
D11005	Zalijevanje fisura na zubima, po zubu uključuje: čišćenje zuba četkom i pastom, jetkanje i nanošenje zalivača	
D11006	Stomatološko-zdravstveni odgoj	
D11007	Kontrola plaka sa bojom i određivanje indeksa, uklanjanje plaka sa zuba i čišćenje zubnih lukova	
