page	letter	letter_title	code	section_code	section_title	name_sr_lat	price_eur
3	D	OPERACIJE SA ANESTEZIJOM	D02034	D02	OPERACIJE - HIRURGIJA	REVIZIJA GASTRODUODENALNE ANASTOMOZE SA REKONSTRUKCIJOM	1167.60
3	D	OPERACIJE SA ANESTEZIJOM	D02035	D02	OPERACIJE - HIRURGIJA	TOTALNA KOLEKTOMIJA SA ILEOREKTALNOM ANASTOMOZOM	1501.20
3	D	OPERACIJE SA ANESTEZIJOM	D02036	D02	OPERACIJE - HIRURGIJA	PLISIRANJE CRIJEVA-NOBLE	1251.00
3	D	OPERACIJE SA ANESTEZIJOM	D02037	D02	OPERACIJE - HIRURGIJA	SUTURA POVREDE TANKOG CRIJEVA	583.80
3	D	OPERACIJE SA ANESTEZIJOM	D02038	D02	OPERACIJE - HIRURGIJA	HIRURŠKO ZBRINJAVANJE POVREDE JETRE (SUTURA, TAMPONADA)	834.00
3	D	OPERACIJE SA ANESTEZIJOM	D02039	D02	OPERACIJE - HIRURGIJA	EVAKUAC HIDATID CIS JETR(SUT BIL KOM)- MALE(DO 10CM U PREČ)	1000.80
3	D	OPERACIJE SA ANESTEZIJOM	D02040	D02	OPERACIJE - HIRURGIJA	HOLEDOHOTOMIJA (T-DRENAŽA)	667.20
3	D	OPERACIJE SA ANESTEZIJOM	D02041	D02	OPERACIJE - HIRURGIJA	DERIVACIJA PSEUDOCISTE PANKREASA IZDVOJENOM CRIJEV VIJUGOM	1251.00
3	D	OPERACIJE SA ANESTEZIJOM	D02043	D02	OPERACIJE - HIRURGIJA	ABDOMINOPERINEALNA RESEKCIJA KOLONA (MILLES)	1668.00
3	D	OPERACIJE SA ANESTEZIJOM	D02044	D02	OPERACIJE - HIRURGIJA	HEMOROIDEKTOMIJA RADIKALNA(WHITEHEAD TIPA)	417.00
3	D	OPERACIJE SA ANESTEZIJOM	D02046	D02	OPERACIJE - HIRURGIJA	VAĐENJE STRANOG TIJELA IZ REKTUMA REKTALNIM PUTEM(POMOĆU REG	66.72
3	D	OPERACIJE SA ANESTEZIJOM	D02047	D02	OPERACIJE - HIRURGIJA	NEKOMPLIKOVANA FLEBEKTOMIJA POVRŠNIH VENA DONJIH EKSTREMIT	83.40
3	D	OPERACIJE SA ANESTEZIJOM	D02048	D02	OPERACIJE - HIRURGIJA	TRANSREKTALNA DRENAŽA PELVIČNOG ABSCESA	125.10
3	D	OPERACIJE SA ANESTEZIJOM	D02049	D02	OPERACIJE - HIRURGIJA	PRESJECANJE I PODVEZIVANJE PERFORAN VENA NA DONJIM EKSTREMIT	166.80
4	D	OPERACIJE SA ANESTEZIJOM	D02050	D02	OPERACIJE - HIRURGIJA	LOKALNA EKSCIZIJA MALIH VILOZNIH PAPILOMA REKTUMA - EKT	166.80
